case_name,sensors,model_name,A_policy,A_true_mm,A_reported_mm,amp_error_mm,amp_error_percent,fit_dg6_mm,fit_dmu6_mm_per_mm,weighted_rmse_v,baseline_gap_only_rmse_v,rmse_improvement_percent,linear_delta_A_mm
ch6_tilt_dmu,S136,stage1_gap_fixed_tilt,main,0.371092574690059,0.419171205557319,0.0480786308672602,12.9559668251018,-0.0682458931265964,NaN,0.0360252429803661,0.0360252429803661,0,NaN
ch6_tilt_dmu,S136,current_gap_tilt_independent,diagnostic_unprotected,0.371092574690059,0.387115590669035,0.0160230159789767,4.31779482312716,-0.00270059636506468,0.0311064581581514,0.0138903092320208,0.0360252429803661,61.4428437315715,NaN
ch6_tilt_dmu,S136,stage2_raw_dmu_A_locked,A_locked_raw,0.371092574690059,0.419171205557319,0.0480786308672602,12.9559668251018,-0.0682458931265964,0.013444667704477,0.0155703016859086,0.0360252429803661,56.77946795697,0
ch6_tilt_dmu,S136,stage2_gaporth_dmu_A_locked,A_locked_gap_orthogonal,0.371092574690059,0.419171205557319,0.0480786308672602,12.9559668251018,-0.0682458931265964,0.0134915847390145,0.0152107465832847,0.0360252429803661,57.777532294301,0
ch6_tilt_dmu,S136,stage2_safe_dmu_A_locked,A_locked_vib_gap_orthogonal,0.371092574690059,0.419171205557319,0.0480786308672602,12.9559668251018,-0.0682458931265964,0.0357337609175319,0.0135634118079992,0.0360252429803661,62.3502558597835,0
ch6_tilt_dmu,S136,linear_raw_refit_can_move_A,linear_update_raw,0.371092574690059,0.360558000636144,-0.0105345740539149,-2.83879947280365,0.00320490021306394,0.0357337609175319,0.0126824704141357,0.0360252429803661,64.7956006263506,-0.0586132049211751
ch6_tilt_dmu,S136,linear_safe_refit_can_move_A,linear_update_vib_gap_orthogonal,0.371092574690059,0.40834884846038,0.0372562737703214,10.039617149828,-0.080283876100697,0.035733760917532,0.0126824704141357,0.0360252429803661,64.7956006263506,-0.0108223570969389
ch6_dg_dmu,S136,stage1_gap_fixed_tilt,main,0.371092574690059,0.409640308085683,0.0385477333956242,10.3876326352851,-0.0301280259865432,NaN,0.0313344894675196,0.0313344894675196,0,NaN
ch6_dg_dmu,S136,current_gap_tilt_independent,diagnostic_unprotected,0.371092574690059,0.378202613891986,0.00711003920192727,1.91597452680525,0.00829056652508811,0.0188150183408976,0.0185870412105062,0.0313344894675196,40.6818444264969,NaN
ch6_dg_dmu,S136,stage2_raw_dmu_A_locked,A_locked_raw,0.371092574690059,0.409640308085683,0.0385477333956242,10.3876326352851,-0.0301280259865432,0.0112752819912266,0.0143909454099163,0.0313344894675196,54.0731454238834,0
ch6_dg_dmu,S136,stage2_gaporth_dmu_A_locked,A_locked_gap_orthogonal,0.371092574690059,0.409640308085683,0.0385477333956242,10.3876326352851,-0.0301280259865432,0.0112747062659856,0.0142499243021766,0.0313344894675196,54.5231961830825,0
ch6_dg_dmu,S136,stage2_safe_dmu_A_locked,A_locked_vib_gap_orthogonal,0.371092574690059,0.409640308085683,0.0385477333956242,10.3876326352851,-0.0301280259865432,0.0314356700737089,0.0129838961956551,0.0313344894675196,58.5635623356371,0
ch6_dg_dmu,S136,linear_raw_refit_can_move_A,linear_update_raw,0.371092574690059,0.361289750454952,-0.00980282423510681,-2.64161152868506,0.0346532215680907,0.0314356700737089,0.0125239740811863,0.0313344894675196,60.0313447130892,-0.048350557630731
ch6_dg_dmu,S136,linear_safe_refit_can_move_A,linear_update_vib_gap_orthogonal,0.371092574690059,0.401767194136706,0.0306746194466477,8.26602889380568,-0.0401136708079284,0.0314356700737089,0.0125239740811863,0.0313344894675196,60.0313447130892,-0.00787311394897647
